Michael Jordan Fleer 1988 17/32,"$20,000",BGS 9.5,
Michael Jordan Panini 102,"$17,233",PSA 10,
Michael Jordan Panini 108,$200,PSA 10,
Michael Jordan Panini 12,"$8,999",BGS 9.5,
1992-93 Topps Beam Team,$424,Psa 10,
Michael Jordan 1992-93 Fleer Ultra NBA Jam Session Dunk Rank,$640,PSA10,
FLEER ULTRA 1992 27,$332,PSA10,
FLEER '89 All-Stars 3,$500,PSA 10,
FLEER '90 All Stars 5/12,$999,PSA10,
Michael Jordan SKYBOX SkyMaster,$220,GEM 10,
Michael Jordan Panini G,"$1,000",GEM 9.5,
Michael Jordan Pannini  K,"$4,237",BGS 10,
Michael Jordan Panini 91,"$1,607",PSA 10,
 NBA Hoops Michael Jordan All Star 5,"$7,250",SGC 9.5,
Michael Jordan Topps 50 Point Club 64,$620,PSA 10,
Michael Jordan Topps  50 Point Club 205,$800,PSA 10,
1992 Topps 115 Michael Jordan All Star ,$499,PSA 10,
1992 Topps 115 Michael Jordan All Star ,$499,PSA 10,
Michael Jordan Topps Gold Basketball 3 Highlights,$749,PSA 10,
Upper Deck Collector's Choice Gold Signature #204 Michael Jordan,$999,PSA 9,
Michael Jordan Upper Deck Collector's Choice PlatinumSignature 204 ,"$2,499",PSA 10,
Michael Jordan 1995 Upper Deck Collector's Choice  324,$929,PSA 10,
Michael Jordan NBA Hoops Milestones Ppoints 1991 316,$200,N/a,
1993 Stadium Club Beam Team Members Only Michael Jordan 1,"5,999",PSA 10,
Michael Jordan GEM ITALIAN 1994 Collector Choice 204 ,$900,PSA 10,
1991 Upper Deck Magic vs. Jordan 34,$500,PSA 10,
1991 Skybox Michael Jordan 39,$58,PSA 10,
1993 MICHAEL JORDAN FINEST REFRACTOR 1,"$19,999",PSA 9,
1993 Upper Deck SE Behind The Glass Michael Jordan G11,"$9,995",PSA 10,
UPPER DECK MICHAEL JORDAN A CUT ABOVE CA7,$541,PSA 8.5,
1996-1997 Collectors Choice A Cut Above #CA8 ,$350,PSA 8.5,
1996-1997 Collectors Choice A Cut Above #CA6,$149,PSA 8,
1996-97 MICHAEL JORDAN Upper Deck Greater Heights GH2,$119,PSA 9,
1995/96 SP Championship Michael Jordan Champions of The Court C30,$299,PSA 9,
1995 U.D. SP MICHAEL JORDAN COLLECTION 1988 NBA MVP JC17,$695,PSA 10,
1995 UD He's Back Jumbo Michael Jordan Collection #JC15,$915,PSA 10,
1995 UD Jordan Collection Michael Jordan JC5 ,$109,PSA 9,
1995 U.D. Jordan Collection The Scoring Records Michael Jordan Card JC12,$35,PSA 8,
1995 UPPER DECK JORDAN COLLECTION MICHAEL JORDAN 3000 POINTS JC2,$69,PSA 9,
1995-96 Upper Deck #JC14 Michael Jordan Collection 69 Point ,$140,BGS 9,
MICHAEL JORDAN 1995-96 SP CHAMPIONSHIP JORDAN COLLECTION JC18,$59,BGS 7.5,
Michael Jordan 1991 NBA MVP Card,"$4,500",n/a,
Michael Jordan 1990-91 NBA Hoops 65 ,"$2,200",n/a,
MICHAEL JORDAN 1989-90 89-90 Fleer #21 ,"$4,000",PSA 10,
Skybox Michael Jordan 307,$340,PSA 10,
1991 Hoops MICHAEL JORDAN MVP BULLS 30,"$1,999",PSA 10,
MICHAEL JORDAN 1992-93 Fleer 32,$799,PSA 10,
1992 Upper Deck #23 Michael Jordan,"$1,450",PSA 10,
1992-93 Upper Deck Fanimation MICHAEL JORDAN 506,"$1,200",PSA 10,
1996 1997 Fleer Metal MICHAEL JORDAN Metal Shredders 241,"$2,748",BGS 9.5,
1994-95 Collector's Choice Silver Signature 240 Michael Jordan,$999,BGS 9.5,
1994 COLLECTOR'S CHOICE MICHAEL JORDAN CARD 240,$649,PSA 10,
Michael Jordan 1992 Fleer 273 Mint,$199,PSA 9,
1996-97 Upper Deck Collector's Choice Gold Michael Jordan #R30,$197,BGS 9,
1996-97 Upper Deck Collector's Choice Silver Michael Jordan #R30,$120,BGS 9,
1992 Skybox Michael Jordan USA Basketbal RARE Rookie #38,$499,PSA 10,
1992-93 Topps Stadium Club Members Choice Members Only #210 Michael Jordan,$600,PSA 10,
1992 Fleer Team Leader Michael Jordan #4,"$1,900",PSA 8.5,
1995-96 Collector's Choice He's Back Crash the Game Michael Jordan,$100,PSA 10,
1995-96 collector's choice jordan he's back #m4 michael jordan,$300,BGS 9.5,
MICHAEL JORDAN 1990 HOOPS #358 Team Checklist Last Dance,$700,PSA 10,
1991 UPPER DECK Michael Jordan #75 Chicago Bulls ,$275,PSA10,
1993 Topps  Michael Jordan PSA 8 Chicago Bulls Birthday 23,"$1,100",PSA 10,
1992 Upper Deck Team MVP's Michael Jordan #TM5,$900,PSA 10,
1991-92 Fleer #29 Michael Jordan Bulls ,"$14,000",n/a,
Michael Jordan Card 1991 Fleer #211 Chicago Bulls All Star,"$6,700",n/a,
Michael Jordan All Time Active Leaders 1991,$50,GMA 9,
1991-92 FLEER LEAGUE LEADERS MICHAEL JORDAN #220,"$2,800",n/a,
1991 Fleer MICHAEL JORDAN All Star Game #238,$238,PSA 10,
1991 Fleer Enemies A Love Story All-Star Game Michael Jordan #233,$140,PSA 10,
Michael Jordan 1992 Olympics Team Hoops #341,$300,PSA 9,
1992 - 1993 Upper Deck McDonald's #P5,$120,n/a,
1991 Hoops #455 Michael Jordan Supreme Court ,$400,BGS 9.5,
1991-92 SKYBOX MICHAEL JORDAN VS. MAGIC JOHNSON #333,$600,SGC 9,
Michael Jordan & Scottie Pippen 1991-1992 Skybox #462 Card,$340,PSA 10,
1992 Fleer All-Stars Michael Jordan #6,"$1,700",PSA 10,
1993-94 Skybox Nba Hoops Michael Jordan #28,$95,Mint 9,
MICHAEL JORDAN 1992 SKYBOX NBA HOOPS #SC1 SUPREME COURT,$125,PSA 9,
1992 Hoops Tribune #TR1 Michael Jordan,$199,SGC 10,
1993 U.D. Pro View 3-D #23 Michael Jordan,$500,PSA 10,
MICHAEL JORDAN 90-91 Star Equal #1 THE SILVER SEASON,"$3,000",BGS 9.5,
1992 POP 1 MICHAEL JORDAN SKYBOX USA HOF #41,"$1,300",SGC 10,
1991 Hoops McDonald's USA Michael Jordan #55,$490,PSA 10,
1993 Upper Deck Soccer Honorary Captain Gold Michael Jordan #HC3,"$10,000",PSA 10,
1993 Upper Deck MICHAEL JORDAN #198,$689,PSA 10,
1993-94 Upper Deck Michael Jordan #201,$100,PSA 9,
Michael Jordan #23 Chicago Bulls 1991-92 Upper Deck Guard #44,"$2,320",n/a,
1993 Upper Deck #208 Michael Jordan ,$70,BGS 9,
1996 96-97 Upper Deck Greater Heights Michael Jordan #GH1,$20,n/a,
1995-96 UpperDeck CC Basketball MICHAEL JORDAN PLATINUM PLAYERS CLUB,$400,PSA 8,
1993 - 1994 Upper Deck Michael Jordan Chicago Bulls #23,"$10,000",n/a,
1993-94 Upper Deck Michael Jordan #237,$284,PSA 9,
1993 Hoops #257 Michael Jordan 5th Anniversary,$350,PSA 10,
1993 Hoops #257 Michael Jordan 5th Anniversary,$350,PSA 10,
1991 Hoops Basketball Michael Jordan BULLS # 579 TEAM USA ,"$2,495",PSA 10,
"1994-95 Upper Deck Michael Jordan ""Basketball Heroes"" #43",$17,PSA 7,
Michael Jordan 93/94 Upper Deck Skylights #466,$700,PSA 10,
1993 Michael Jordan Upper Deck #438,$500,PSA 10,
1994 Coll. Choice Basketball Heroes Michael Jordan #211,$91,PSA 9,
1995 Collector’s Choice Int. #195,$437,PSA 10,
1993 UPPER DECK 3RD STRAIGHT #SP4 MICHAEL JORDAN,$120,PSA 9,
1995 Collectors Choice Michael Jordan Players Club Platinum #195,$350,PSA 9,
1994 Upper Deck Collector's Choice #420 Michael Jordan Checklist,$190,PSA 9,
1992 Upper Deck Michael Jordan 453 In Your Face Date Error,"$3,000",BGS 9.5,
1992 Impel Olympicards #12 Michael Jordan,$400,PSA 10,
 1991-92 91-92 Skybox MICHAEL JORDAN Team USA #534,"$2,500",PSA 9,
1992 Skybox MICHAEL JORDAN USA Basketball #45,$589,PSA 10,
1991 92 SKYBOX DREAM TEAM USA BARCELONA SET JORDAN MAGIC 544,$200,BGS 9.5,
1991 92 SKYBOX DREAM TEAM USA BARCELONA SET JORDAN MAGIC 545,$200,BGS 9.5,
1991 92 SKYBOX DREAM TEAM USA BARCELONA SET JORDAN MAGIC 546,$200,BGS 9.5,
1991-92 NBA Hoops Tribune #542 Michael Jordan,$550,n/a,
Michael Jordan 1991 Upper Deck East All Star #69,$800,BGS 10,
1991 92 Upper Deck Michael Jordan EAST ALL STAR #452 ,$40,GEM 10,
1993 TOPPS ALL-STAR MICHAEL JORDAN #101,$380,PSA 10,
1991 Michael Jordan Upper Deck NBA All-Star Card #48,"$2,000",n/a,!
1993-94 Upper Deck Michael Jordan #180,$400,PSA 10,
1993-94 Michael Jordan Upper Deck #187 ,$400,PSA 10,
1993-94 Upper Deck Michael Jordan #193,$284,PSA 10,
"1992 Upper Deck Basketball card, NBA East All Star Team card, #449,",$7,n/a,
1992 UD Michael Jordan Team Mvps Checklist #TM1,$400,PSA 10,
1990 Fleer All-Stars Lot Basketball #5,"$1,800",n/a,
Michael Jordan 1994 95 UD Collector's Choice Silver Foil Signature #402,$500,BGS 9.5,
MICHAEL JORDAN UPPER DECK 1993-94 #171 SEASON LEADERS,$125,CSG 9,
1995 Upper Deck Electric Court #23 Michael Jordan,$570,PSA 9,
1995 Upper Deck MICHAEL JORDAN #23,$635,PSA 10,
1993-94 UD NBA Season Leaders Scoring Michael Jordan 166,$100,n/a,
1995 Topps Stadium Club Members Only Michael Jordan #20,$59,n/a,
1995 Skybox Premium Michael Jordan Electrified,"$4,500",PSA 10,
Michael Jordan Ntense Mint non auto 90's Rare insert,$999,BGS 9,
1996 Skybox Z-Force MICHAEL JORDAN #11 ,$950,SGC 10,
 1996 1997 MICHAEL JORDAN SKYBOX FLEER E-X2000 MJ AIR CHROME,$300,n/a,
